OrderId,AreaCode,State,Market,MarketSize,Profit,Margin,Sales,Total Expenses,ProductId,Date,ProductCategory,ProductName,ProductType
3446,337,Louisiana,South,Small Market,35,63,112,28,8,2010-01-01,Herbal Tea,Chamomile,Decaf
3447,339,Massachusetts,East,Major Market,17,72,130,55,9,2010-01-01,Herbal Tea,Lemon,Decaf
3448,347,New York,East,Major Market,54,80,134,26,13,2010-01-01,Tea,Green Tea,Regular
3449,347,New York,East,Major Market,101,139,234,38,11,2010-01-01,Tea,Darjeeling,Regular
3450,360,Washington,West,Small Market,8,105,180,97,13,2010-01-01,Tea,Green Tea,Regular
3451,360,Washington,West,Small Market,30,51,85,21,9,2010-01-01,Herbal Tea,Lemon,Decaf
3452,360,Washington,West,Small Market,70,113,180,43,11,2010-01-01,Tea,Darjeeling,Regular
3453,405,Oklahoma,South,Small Market,28,48,80,20,5,2010-01-01,Espresso,Caffe Mocha,Regular
3454,405,Oklahoma,South,Small Market,67,126,210,59,6,2010-01-01,Espresso,Decaf Espresso,Decaf
3455,405,Oklahoma,South,Small Market,66,116,200,50,4,2010-01-01,Espresso,Caffe Latte,Regular
3456,409,Texas,South,Major Market,159,245,452,86,2,2010-01-01,Coffee,Columbian,Regular
3457,413,Massachusetts,East,Major Market,367,422,494,55,2,2010-01-01,Coffee,Columbian,Regular
3458,414,Wisconsin,Central,Small Market,51,103,180,52,3,2010-01-01,Coffee,Decaf Irish Cream,Decaf
3459,414,Wisconsin,Central,Small Market,38,81,150,43,5,2010-01-01,Espresso,Caffe Mocha,Regular
3460,417,Missouri,Central,Small Market,-4,42,76,46,13,2010-01-01,Tea,Green Tea,Regular
3461,425,Washington,West,Small Market,35,62,110,27,4,2010-01-01,Espresso,Caffe Latte,Regular
3462,435,Utah,West,Small Market,30,75,130,45,2,2010-01-01,Coffee,Columbian,Regular
3463,435,Utah,West,Small Market,-9,36,65,45,13,2010-01-01,Tea,Green Tea,Regular
3464,435,Utah,West,Small Market,34,63,112,29,5,2010-01-01,Espresso,Caffe Mocha,Regular
3465,435,Utah,West,Small Market,47,73,123,26,6,2010-01-01,Espresso,Decaf Espresso,Decaf
3466,435,Utah,West,Small Market,25,72,120,47,9,2010-01-01,Herbal Tea,Lemon,Decaf
3467,435,Utah,West,Small Market,-40,11,99,51,10,2010-01-01,Herbal Tea,Mint,Decaf
3468,435,Utah,West,Small Market,-10,53,90,63,11,2010-01-01,Tea,Darjeeling,Regular
3469,435,Utah,West,Small Market,9,47,82,38,12,2010-01-01,Tea,Earl Grey,Regular
3470,435,Utah,West,Small Market,44,68,114,24,4,2010-01-01,Espresso,Caffe Latte,Regular
3471,475,Connecticut,East,Small Market,115,186,310,71,2,2010-01-01,Coffee,Columbian,Regular
3472,475,Connecticut,East,Small Market,35,56,94,21,13,2010-01-01,Tea,Green Tea,Regular
3473,475,Connecticut,East,Small Market,30,75,130,45,6,2010-01-01,Espresso,Decaf Espresso,Decaf
3474,475,Connecticut,East,Small Market,47,92,170,45,10,2010-01-01,Herbal Tea,Mint,Decaf
3475,475,Connecticut,East,Small Market,47,73,123,26,11,2010-01-01,Tea,Darjeeling,Regular
3476,503,Oregon,West,Small Market,28,93,160,65,2,2010-01-01,Coffee,Columbian,Regular
3477,503,Oregon,West,Small Market,33,80,140,47,5,2010-01-01,Espresso,Caffe Mocha,Regular
3478,503,Oregon,West,Small Market,29,56,100,27,9,2010-01-01,Herbal Tea,Lemon,Decaf
3479,503,Oregon,West,Small Market,68,126,210,58,12,2010-01-01,Tea,Earl Grey,Regular
3480,503,Oregon,West,Small Market,16,72,130,56,4,2010-01-01,Espresso,Caffe Latte,Regular
3481,504,Louisiana,South,Small Market,40,105,190,65,9,2010-01-01,Herbal Tea,Lemon,Decaf
3482,504,Louisiana,South,Small Market,8,105,180,97,4,2010-01-01,Espresso,Caffe Latte,Regular
3483,505,New Mexico,South,Small Market,26,72,120,46,2,2010-01-01,Coffee,Columbian,Regular
3484,505,New Mexico,South,Small Market,-39,11,99,50,3,2010-01-01,Coffee,Decaf Irish Cream,Decaf
3485,505,New Mexico,South,Small Market,-10,53,90,63,5,2010-01-01,Espresso,Caffe Mocha,Regular
3486,505,New Mexico,South,Small Market,9,47,82,38,6,2010-01-01,Espresso,Decaf Espresso,Decaf
3487,505,New Mexico,South,Small Market,11,27,45,16,8,2010-01-01,Herbal Tea,Chamomile,Decaf
3488,505,New Mexico,South,Small Market,4,34,62,30,9,2010-01-01,Herbal Tea,Lemon,Decaf
3489,505,New Mexico,South,Small Market,-8,36,65,44,4,2010-01-01,Espresso,Caffe Latte,Regular
3490,508,Massachusetts,East,Major Market,29,48,80,19,11,2010-01-01,Tea,Darjeeling,Regular
3491,509,Washington,West,Small Market,9,111,190,102,3,2010-01-01,Coffee,Decaf Irish Cream,Decaf
3492,510,California,West,Major Market,102,139,234,37,8,2010-01-01,Herbal Tea,Chamomile,Decaf
3493,541,Oregon,West,Small Market,1,87,150,86,1,2010-01-01,Coffee,Amaretto,Regular
3494,541,Oregon,West,Small Market,67,116,200,49,13,2010-01-01,Tea,Green Tea,Regular
3495,559,California,West,Major Market,262,407,678,145,2,2010-01-01,Coffee,Columbian,Regular
3496,563,Iowa,Central,Small Market,11,26,43,15,5,2010-01-01,Espresso,Caffe Mocha,Regular
3497,563,Iowa,Central,Small Market,10,26,43,16,6,2010-01-01,Espresso,Decaf Espresso,Decaf
3498,563,Iowa,Central,Small Market,86,139,234,53,9,2010-01-01,Herbal Tea,Lemon,Decaf
3499,567,Ohio,Central,Major Market,68,126,210,58,11,2010-01-01,Tea,Darjeeling,Regular
3500,573,Missouri,Central,Small Market,47,92,170,45,3,2010-01-01,Coffee,Decaf Irish Cream,Decaf
3501,573,Missouri,Central,Small Market,48,73,123,25,5,2010-01-01,Espresso,Caffe Mocha,Regular
3502,573,Missouri,Central,Small Market,-11,53,90,64,8,2010-01-01,Herbal Tea,Chamomile,Decaf
3503,573,Missouri,Central,Small Market,-9,36,65,45,12,2010-01-01,Tea,Earl Grey,Regular
3504,580,Oklahoma,South,Small Market,29,56,100,27,2,2010-01-01,Coffee,Columbian,Regular
3505,580,Oklahoma,South,Small Market,28,48,80,20,3,2010-01-01,Coffee,Decaf Irish Cream,Decaf
3506,580,Oklahoma,South,Small Market,10,111,190,101,9,2010-01-01,Herbal Tea,Lemon,Decaf
3507,603,New Hampshire,East,Small Market,20,55,93,35,1,2010-01-01,Coffee,Amaretto,Regular
3508,603,New Hampshire,East,Small Market,25,72,120,47,2,2010-01-01,Coffee,Columbian,Regular
3509,603,New Hampshire,East,Small Market,11,26,43,15,13,2010-01-01,Tea,Green Tea,Regular
3510,603,New Hampshire,East,Small Market,-10,53,90,63,5,2010-01-01,Espresso,Caffe Mocha,Regular
3511,603,New Hampshire,East,Small Market,-4,42,76,46,9,2010-01-01,Herbal Tea,Lemon,Decaf
3512,603,New Hampshire,East,Small Market,10,27,45,17,11,2010-01-01,Tea,Darjeeling,Regular
3513,603,New Hampshire,East,Small Market,-8,36,65,44,7,2010-01-01,Espresso,Regular Espresso,Regular
3514,607,New York,East,Major Market,111,238,483,127,9,2010-01-01,Herbal Tea,Lemon,Decaf
3515,608,Wisconsin,Central,Small Market,47,89,150,42,11,2010-01-01,Tea,Darjeeling,Regular
3516,614,Ohio,Central,Major Market,42,83,140,41,2,2010-01-01,Coffee,Columbian,Regular
3517,614,Ohio,Central,Major Market,0,87,150,87,3,2010-01-01,Coffee,Decaf Irish Cream,Decaf
3518,614,Ohio,Central,Major Market,99,171,341,72,5,2010-01-01,Espresso,Caffe Mocha,Regular
3519,614,Ohio,Central,Major Market,16,72,130,56,6,2010-01-01,Espresso,Decaf Espresso,Decaf
3520,619,California,West,Major Market,94,130,219,36,11,2010-01-01,Tea,Darjeeling,Regular
3521,630,Illinois,Central,Major Market,140,228,456,88,6,2010-01-01,Espresso,Decaf Espresso,Decaf
3522,630,Illinois,Central,Major Market,68,107,190,39,9,2010-01-01,Herbal Tea,Lemon,Decaf
3523,631,New York,East,Major Market,175,262,490,87,7,2010-01-01,Espresso,Regular Espresso,Regular
3524,636,Missouri,Central,Small Market,39,105,190,66,2,2010-01-01,Coffee,Columbian,Regular
3525,641,Iowa,Central,Small Market,5,34,62,29,2,2010-01-01,Coffee,Columbian,Regular
3526,641,Iowa,Central,Small Market,202,312,546,110,8,2010-01-01,Herbal Tea,Chamomile,Decaf
3527,646,New York,East,Major Market,94,130,219,36,12,2010-01-01,Tea,Earl Grey,Regular
3528,650,California,West,Major Market,-117,-26,118,91,3,2010-01-01,Coffee,Decaf Irish Cream,Decaf
3529,650,California,West,Major Market,54,80,134,26,12,2010-01-01,Tea,Earl Grey,Regular
3530,660,Missouri,Central,Small Market,45,68,114,23,6,2010-01-01,Espresso,Decaf Espresso,Decaf
3531,661,California,West,Major Market,140,228,456,88,4,2010-01-01,Espresso,Caffe Latte,Regular
3532,702,Nevada,West,Small Market,-3,42,76,45,2,2010-01-01,Coffee,Columbian,Regular
3533,702,Nevada,West,Small Market,-354,-245,17,126,13,2010-01-01,Tea,Green Tea,Regular
3534,702,Nevada,West,Small Market,10,27,45,17,5,2010-01-01,Espresso,Caffe Mocha,Regular
3535,702,Nevada,West,Small Market,16,145,250,129,8,2010-01-01,Herbal Tea,Chamomile,Decaf
3536,702,Nevada,West,Small Market,86,139,234,53,10,2010-01-01,Herbal Tea,Mint,Decaf
3537,707,California,West,Major Market,67,107,190,40,10,2010-01-01,Herbal Tea,Mint,Decaf
3538,708,Illinois,Central,Major Market,54,108,180,54,12,2010-01-01,Tea,Earl Grey,Regular
3539,712,Iowa,Central,Small Market,12,31,54,19,3,2010-01-01,Coffee,Decaf Irish Cream,Decaf
3540,712,Iowa,Central,Small Market,141,228,456,87,11,2010-01-01,Tea,Darjeeling,Regular
3541,715,Wisconsin,Central,Small Market,70,113,180,43,8,2010-01-01,Herbal Tea,Chamomile,Decaf
3542,715,Wisconsin,Central,Small Market,28,48,81,20,9,2010-01-01,Herbal Tea,Lemon,Decaf
3543,716,New York,East,Major Market,262,407,678,145,2,2010-01-01,Coffee,Columbian,Regular
3544,719,Colorado,Central,Major Market,94,130,219,36,1,2010-01-01,Coffee,Amaretto,Regular
3545,719,Colorado,Central,Major Market,0,87,150,87,9,2010-01-01,Herbal Tea,Lemon,Decaf
3546,719,Colorado,Central,Major Market,17,72,130,55,11,2010-01-01,Tea,Darjeeling,Regular
3547,720,Colorado,Central,Major Market,53,108,180,55,6,2010-01-01,Espresso,Decaf Espresso,Decaf
3548,740,Ohio,Central,Major Market,34,80,140,46,1,2010-01-01,Coffee,Amaretto,Regular
3549,740,Ohio,Central,Major Market,29,48,80,19,9,2010-01-01,Herbal Tea,Lemon,Decaf
3550,754,Florida,East,Major Market,67,116,200,49,3,2010-01-01,Coffee,Decaf Irish Cream,Decaf
3551,754,Florida,East,Major Market,28,48,81,20,13,2010-01-01,Tea,Green Tea,Regular
3552,754,Florida,East,Major Market,50,103,180,53,6,2010-01-01,Espresso,Decaf Espresso,Decaf
3553,760,California,West,Major Market,54,108,180,54,13,2010-01-01,Tea,Green Tea,Regular
3554,772,Florida,East,Major Market,39,81,150,42,10,2010-01-01,Herbal Tea,Mint,Decaf
3555,773,Illinois,Central,Major Market,101,139,234,38,10,2010-01-01,Herbal Tea,Mint,Decaf
3556,775,Nevada,West,Small Market,4,34,62,30,3,2010-01-01,Coffee,Decaf Irish Cream,Decaf
3557,775,Nevada,West,Small Market,11,26,43,15,6,2010-01-01,Espresso,Decaf Espresso,Decaf
3558,775,Nevada,West,Small Market,111,201,345,90,9,2010-01-01,Herbal Tea,Lemon,Decaf
3559,775,Nevada,West,Small Market,203,312,546,109,11,2010-01-01,Tea,Darjeeling,Regular
3560,775,Nevada,West,Small Market,141,228,456,87,12,2010-01-01,Tea,Earl Grey,Regular
3561,775,Nevada,West,Small Market,11,26,43,15,4,2010-01-01,Espresso,Caffe Latte,Regular
3562,781,Massachusetts,East,Major Market,29,48,80,19,13,2010-01-01,Tea,Green Tea,Regular
3563,781,Massachusetts,East,Major Market,-23,63,126,86,5,2010-01-01,Espresso,Caffe Mocha,Regular
3564,801,Utah,West,Small Market,47,92,170,45,1,2010-01-01,Coffee,Amaretto,Regular
3565,801,Utah,West,Small Market,39,105,190,66,3,2010-01-01,Coffee,Decaf Irish Cream,Decaf
3566,801,Utah,West,Small Market,21,55,93,34,8,2010-01-01,Herbal Tea,Chamomile,Decaf
3567,818,California,West,Major Market,17,145,250,128,5,2010-01-01,Espresso,Caffe Mocha,Regular
3568,830,Texas,South,Major Market,53,108,180,55,4,2010-01-01,Espresso,Caffe Latte,Regular
3569,845,New York,East,Major Market,-113,-27,180,86,10,2010-01-01,Herbal Tea,Mint,Decaf
3570,860,Connecticut,East,Small Market,7,105,180,98,5,2010-01-01,Espresso,Caffe Mocha,Regular
3571,860,Connecticut,East,Small Market,40,105,190,65,9,2010-01-01,Herbal Tea,Lemon,Decaf
3572,863,Florida,East,Major Market,34,62,110,28,8,2010-01-01,Herbal Tea,Chamomile,Decaf
3573,916,California,West,Major Market,-2,50,145,52,1,2010-01-01,Coffee,Amaretto,Regular
3574,918,Oklahoma,South,Small Market,13,66,120,53,8,2010-01-01,Herbal Tea,Chamomile,Decaf
3575,937,Ohio,Central,Major Market,29,48,80,19,8,2010-01-01,Herbal Tea,Chamomile,Decaf
3576,954,Florida,East,Major Market,68,126,210,58,2,2010-01-01,Coffee,Columbian,Regular
3577,954,Florida,East,Major Market,28,48,80,20,11,2010-01-01,Tea,Darjeeling,Regular
3578,956,Texas,South,Major Market,54,80,134,26,6,2010-01-01,Espresso,Decaf Espresso,Decaf
3579,970,Colorado,Central,Major Market,68,107,190,39,2,2010-01-01,Coffee,Columbian,Regular
3580,970,Colorado,Central,Major Market,101,139,234,38,3,2010-01-01,Coffee,Decaf Irish Cream,Decaf
3581,970,Colorado,Central,Major Market,99,171,341,72,8,2010-01-01,Herbal Tea,Chamomile,Decaf
3582,970,Colorado,Central,Major Market,33,80,140,47,10,2010-01-01,Herbal Tea,Mint,Decaf
3583,971,Oregon,West,Small Market,42,83,140,41,3,2010-01-01,Coffee,Decaf Irish Cream,Decaf
3584,971,Oregon,West,Small Market,99,171,341,72,6,2010-01-01,Espresso,Decaf Espresso,Decaf
3585,971,Oregon,West,Small Market,33,54,90,21,8,2010-01-01,Herbal Tea,Chamomile,Decaf
3586,971,Oregon,West,Small Market,28,48,80,20,11,2010-01-01,Tea,Darjeeling,Regular
3587,978,Massachusetts,East,Major Market,100,171,341,71,7,2010-01-01,Espresso,Regular Espresso,Regular
3588,985,Louisiana,South,Small Market,28,48,81,20,3,2010-01-01,Coffee,Decaf Irish Cream,Decaf
3589,203,Connecticut,East,Small Market,29,75,130,46,6,2010-01-02,Espresso,Decaf Espresso,Decaf
3590,206,Washington,West,Small Market,15,128,220,113,3,2010-01-02,Coffee,Decaf Irish Cream,Decaf
3591,206,Washington,West,Small Market,121,195,325,74,8,2010-01-02,Herbal Tea,Chamomile,Decaf
3592,206,Washington,West,Small Market,41,81,137,40,12,2010-01-02,Tea,Earl Grey,Regular
3593,214,Texas,South,Major Market,33,80,140,47,8,2010-01-02,Herbal Tea,Chamomile,Decaf
3594,225,Louisiana,South,Small Market,42,107,193,65,9,2010-01-02,Herbal Tea,Lemon,Decaf
3595,234,Ohio,Central,Major Market,98,170,340,72,5,2010-01-02,Espresso,Caffe Mocha,Regular
3596,253,Washington,West,Small Market,3,90,155,87,13,2010-01-02,Tea,Green Tea,Regular
3597,253,Washington,West,Small Market,12,65,118,53,5,2010-01-02,Espresso,Caffe Mocha,Regular
3598,262,Wisconsin,Central,Small Market,12,65,118,53,1,2010-01-02,Coffee,Amaretto,Regular
3599,262,Wisconsin,Central,Small Market,43,68,115,25,9,2010-01-02,Herbal Tea,Lemon,Decaf
3600,303,Colorado,Central,Major Market,105,144,243,39,1,2010-01-02,Coffee,Amaretto,Regular
3601,303,Colorado,Central,Major Market,59,114,189,55,6,2010-01-02,Espresso,Decaf Espresso,Decaf
3602,303,Colorado,Central,Major Market,33,80,140,47,10,2010-01-02,Herbal Tea,Mint,Decaf
3603,305,Florida,East,Major Market,71,120,206,49,3,2010-01-02,Coffee,Decaf Irish Cream,Decaf
3604,305,Florida,East,Major Market,16,128,220,112,5,2010-01-02,Espresso,Caffe Mocha,Regular
3605,309,Illinois,Central,Major Market,79,112,189,33,11,2010-01-02,Tea,Darjeeling,Regular
3606,312,Illinois,Central,Major Market,115,206,354,91,2,2010-01-02,Coffee,Columbian,Regular
3607,312,Illinois,Central,Major Market,142,229,457,87,6,2010-01-02,Espresso,Decaf Espresso,Decaf
3608,314,Missouri,Central,Small Market,42,107,193,65,2,2010-01-02,Coffee,Columbian,Regular
3609,314,Missouri,Central,Small Market,-7,38,68,45,12,2010-01-02,Tea,Earl Grey,Regular
3610,318,Louisiana,South,Small Market,2,90,155,88,4,2010-01-02,Espresso,Caffe Latte,Regular
3611,319,Iowa,Central,Small Market,6,35,63,29,2,2010-01-02,Coffee,Columbian,Regular
3612,319,Iowa,Central,Small Market,11,28,47,17,5,2010-01-02,Espresso,Caffe Mocha,Regular
3613,330,Ohio,Central,Major Market,17,34,56,17,8,2010-01-02,Herbal Tea,Chamomile,Decaf
3614,337,Louisiana,South,Small Market,34,56,94,22,2,2010-01-02,Coffee,Columbian,Regular
3615,337,Louisiana,South,Small Market,35,63,112,28,8,2010-01-02,Herbal Tea,Chamomile,Decaf
3616,360,Washington,West,Small Market,66,109,174,43,11,2010-01-02,Tea,Darjeeling,Regular
3617,360,Washington,West,Small Market,35,62,110,27,4,2010-01-02,Espresso,Caffe Latte,Regular
3618,405,Oklahoma,South,Small Market,29,48,80,19,3,2010-01-02,Coffee,Decaf Irish Cream,Decaf
3619,405,Oklahoma,South,Small Market,63,120,200,57,6,2010-01-02,Espresso,Decaf Espresso,Decaf
3620,405,Oklahoma,South,Small Market,15,128,220,113,9,2010-01-02,Herbal Tea,Lemon,Decaf
3621,405,Oklahoma,South,Small Market,70,120,206,50,4,2010-01-02,Espresso,Caffe Latte,Regular
3622,407,Florida,East,Major Market,51,103,180,52,6,2010-01-02,Espresso,Decaf Espresso,Decaf
3623,414,Wisconsin,Central,Small Market,50,103,180,53,3,2010-01-02,Coffee,Decaf Irish Cream,Decaf
3624,414,Wisconsin,Central,Small Market,42,84,154,42,5,2010-01-02,Espresso,Caffe Mocha,Regular
3625,414,Wisconsin,Central,Small Market,3,90,155,87,12,2010-01-02,Tea,Earl Grey,Regular
3626,415,California,West,Major Market,245,387,645,142,2,2010-01-02,Coffee,Columbian,Regular
3627,417,Missouri,Central,Small Market,-32,18,102,50,9,2010-01-02,Herbal Tea,Lemon,Decaf
3628,432,Texas,South,Major Market,68,107,190,39,3,2010-01-02,Coffee,Decaf Irish Cream,Decaf
3629,432,Texas,South,Major Market,38,76,128,38,9,2010-01-02,Herbal Tea,Lemon,Decaf
3630,435,Utah,West,Small Market,46,90,165,44,1,2010-01-02,Coffee,Amaretto,Regular
3631,435,Utah,West,Small Market,30,75,130,45,2,2010-01-02,Coffee,Columbian,Regular
3632,435,Utah,West,Small Market,41,107,193,66,3,2010-01-02,Coffee,Decaf Irish Cream,Decaf
3633,435,Utah,West,Small Market,-6,38,68,44,13,2010-01-02,Tea,Green Tea,Regular
3634,435,Utah,West,Small Market,48,73,123,25,6,2010-01-02,Espresso,Decaf Espresso,Decaf
3635,435,Utah,West,Small Market,24,60,101,36,8,2010-01-02,Herbal Tea,Chamomile,Decaf
3636,435,Utah,West,Small Market,24,69,114,45,9,2010-01-02,Herbal Tea,Lemon,Decaf
3637,435,Utah,West,Small Market,-31,18,102,49,10,2010-01-02,Herbal Tea,Mint,Decaf
3638,435,Utah,West,Small Market,-7,61,104,68,11,2010-01-02,Tea,Darjeeling,Regular
3639,435,Utah,West,Small Market,9,47,82,38,12,2010-01-02,Tea,Earl Grey,Regular
3640,435,Utah,West,Small Market,38,61,103,23,4,2010-01-02,Espresso,Caffe Latte,Regular
3641,475,Connecticut,East,Small Market,21,39,66,18,13,2010-01-02,Tea,Green Tea,Regular
3642,475,Connecticut,East,Small Market,41,107,193,66,9,2010-01-02,Herbal Tea,Lemon,Decaf
3643,475,Connecticut,East,Small Market,48,73,123,25,11,2010-01-02,Tea,Darjeeling,Regular
3644,503,Oregon,West,Small Market,25,90,155,65,2,2010-01-02,Coffee,Columbian,Regular
3645,503,Oregon,West,Small Market,71,120,206,49,13,2010-01-02,Tea,Green Tea,Regular
3646,503,Oregon,West,Small Market,18,73,132,55,4,2010-01-02,Espresso,Caffe Latte,Regular
3647,504,Louisiana,South,Small Market,44,68,115,24,3,2010-01-02,Coffee,Decaf Irish Cream,Decaf
3648,504,Louisiana,South,Small Market,65,109,174,44,5,2010-01-02,Espresso,Caffe Mocha,Regular
3649,505,New Mexico,South,Small Market,24,69,114,45,2,2010-01-02,Coffee,Columbian,Regular
3650,505,New Mexico,South,Small Market,-31,18,102,49,3,2010-01-02,Coffee,Decaf Irish Cream,Decaf
3651,505,New Mexico,South,Small Market,-7,61,104,68,5,2010-01-02,Espresso,Caffe Mocha,Regular
3652,505,New Mexico,South,Small Market,8,47,82,39,6,2010-01-02,Espresso,Decaf Espresso,Decaf
3653,505,New Mexico,South,Small Market,10,27,45,17,8,2010-01-02,Herbal Tea,Chamomile,Decaf
3654,505,New Mexico,South,Small Market,5,35,63,30,9,2010-01-02,Herbal Tea,Lemon,Decaf
3655,505,New Mexico,South,Small Market,-7,38,68,45,4,2010-01-02,Espresso,Caffe Latte,Regular
3656,508,Massachusetts,East,Major Market,-4,74,128,78,5,2010-01-02,Espresso,Caffe Mocha,Regular
3657,508,Massachusetts,East,Major Market,99,170,340,71,7,2010-01-02,Espresso,Regular Espresso,Regular
3658,509,Washington,West,Small Market,44,84,142,40,2,2010-01-02,Coffee,Columbian,Regular
3659,509,Washington,West,Small Market,41,84,154,43,6,2010-01-02,Espresso,Decaf Espresso,Decaf
3660,509,Washington,West,Small Market,34,56,94,22,9,2010-01-02,Herbal Tea,Lemon,Decaf
3661,512,Texas,South,Major Market,58,114,189,56,4,2010-01-02,Espresso,Caffe Latte,Regular
3662,513,Ohio,Central,Major Market,38,76,128,38,2,2010-01-02,Coffee,Columbian,Regular
3663,513,Ohio,Central,Major Market,71,120,206,49,12,2010-01-02,Tea,Earl Grey,Regular
3664,515,Iowa,Central,Small Market,169,294,534,125,12,2010-01-02,Tea,Earl Grey,Regular
3665,518,New York,East,Major Market,131,255,495,124,9,2010-01-02,Herbal Tea,Lemon,Decaf
3666,518,New York,East,Major Market,105,144,243,39,12,2010-01-02,Tea,Earl Grey,Regular
3667,530,California,West,Major Market,68,107,190,39,10,2010-01-02,Herbal Tea,Mint,Decaf
3668,541,Oregon,West,Small Market,33,80,140,47,5,2010-01-02,Espresso,Caffe Mocha,Regular
3669,541,Oregon,West,Small Market,30,56,100,26,9,2010-01-02,Herbal Tea,Lemon,Decaf
3670,541,Oregon,West,Small Market,17,34,56,17,11,2010-01-02,Tea,Darjeeling,Regular
3671,563,Iowa,Central,Small Market,201,311,545,110,8,2010-01-02,Herbal Tea,Chamomile,Decaf
3672,563,Iowa,Central,Small Market,95,150,254,55,9,2010-01-02,Herbal Tea,Lemon,Decaf
3673,563,Iowa,Central,Small Market,141,229,457,88,11,2010-01-02,Tea,Darjeeling,Regular
3674,573,Missouri,Central,Small Market,-4,41,74,45,13,2010-01-02,Tea,Green Tea,Regular
3675,573,Missouri,Central,Small Market,48,73,123,25,5,2010-01-02,Espresso,Caffe Mocha,Regular
3676,573,Missouri,Central,Small Market,38,61,103,23,6,2010-01-02,Espresso,Decaf Espresso,Decaf
3677,585,New York,East,Major Market,-203,-60,61,143,5,2010-01-02,Espresso,Caffe Mocha,Regular
3678,585,New York,East,Major Market,264,352,580,88,7,2010-01-02,Espresso,Regular Espresso,Regular
3679,603,New Hampshire,East,Small Market,25,60,101,35,1,2010-01-02,Coffee,Amaretto,Regular
3680,603,New Hampshire,East,Small Market,23,69,114,46,2,2010-01-02,Coffee,Columbian,Regular
